epoch,train_loss,mean_subject_accuracy,mean_subject_cohen_kappa,mean_subject_loss,pooled_accuracy,subject_1_accuracy,subject_1_cohen_kappa,subject_1_loss,subject_2_accuracy,subject_2_cohen_kappa,subject_2_loss,subject_3_accuracy,subject_3_cohen_kappa,subject_3_loss,subject_4_accuracy,subject_4_cohen_kappa,subject_4_loss,subject_5_accuracy,subject_5_cohen_kappa,subject_5_loss,subject_6_accuracy,subject_6_cohen_kappa,subject_6_loss,subject_7_accuracy,subject_7_cohen_kappa,subject_7_loss,subject_8_accuracy,subject_8_cohen_kappa,subject_8_loss,subject_9_accuracy,subject_9_cohen_kappa,subject_9_loss
1,1.9834112061394586,0.3560956790123457,0.14146090534979427,1.3259975512822468,0.3560956790123457,0.3541666666666667,0.13888888888888892,1.3152879178524017,0.2743055555555556,0.03240740740740744,1.3723031878471375,0.4027777777777778,0.20370370370370372,1.310903251171112,0.2881944444444444,0.050925925925925895,1.364243596792221,0.3055555555555556,0.07407407407407411,1.349323719739914,0.3263888888888889,0.10185185185185186,1.3427125215530396,0.3888888888888889,0.1851851851851852,1.3115572929382324,0.3993055555555556,0.1990740740740741,1.303957611322403,0.4652777777777778,0.28703703703703703,1.263688862323761
2,1.4947826464970906,0.4444444444444444,0.2592592592592593,1.260181039571762,0.4444444444444444,0.4340277777777778,0.24537037037037038,1.239670068025589,0.375,0.16666666666666666,1.331321507692337,0.4930555555555556,0.3240740740740741,1.2251362204551697,0.3888888888888889,0.1851851851851852,1.3060120344161987,0.4513888888888889,0.26851851851851855,1.2745440006256104,0.3854166666666667,0.18055555555555558,1.3111082315444946,0.5138888888888888,0.3518518518518518,1.2135934829711914,0.4965277777777778,0.3287037037037037,1.227589100599289,0.4618055555555556,0.28240740740740744,1.212654709815979
3,1.311391058895323,0.4857253086419753,0.31430041152263377,1.1835154626104567,0.48572530864197533,0.4965277777777778,0.3287037037037037,1.1829145848751068,0.3784722222222222,0.17129629629629628,1.2675893306732178,0.5208333333333334,0.36111111111111116,1.1031893193721771,0.4444444444444444,0.25925925925925924,1.2500044405460358,0.5833333333333334,0.4444444444444445,1.1389211416244507,0.3819444444444444,0.1759259259259259,1.3163488507270813,0.5902777777777778,0.4537037037037037,1.076057255268097,0.5138888888888888,0.3518518518518518,1.134244590997696,0.4618055555555556,0.28240740740740744,1.1823696494102478
4,1.2254582544167836,0.5169753086419753,0.3559670781893004,1.1442918197976217,0.5169753086419753,0.5277777777777778,0.3703703703703704,1.1566089391708374,0.40625,0.20833333333333334,1.245060682296753,0.5763888888888888,0.4351851851851851,1.0527510195970535,0.4722222222222222,0.2962962962962963,1.2056415677070618,0.5868055555555556,0.4490740740740741,1.0706355273723602,0.4131944444444444,0.21759259259259256,1.3219887912273407,0.625,0.5,0.9833551943302155,0.5451388888888888,0.39351851851851843,1.0963128805160522,0.5,0.3333333333333333,1.1662717759609222
5,1.1734797888331943,0.5196759259259259,0.3595679012345679,1.1297445247570674,0.5196759259259259,0.5,0.3333333333333333,1.1533116698265076,0.3888888888888889,0.1851851851851852,1.26278617978096,0.59375,0.4583333333333333,1.0191678255796432,0.4618055555555556,0.28240740740740744,1.2003645300865173,0.6284722222222222,0.5046296296296297,1.0248571187257767,0.4236111111111111,0.23148148148148148,1.3361136317253113,0.6527777777777778,0.5370370370370371,0.9176108241081238,0.5347222222222222,0.3796296296296296,1.0746434777975082,0.4930555555555556,0.3240740740740741,1.178845465183258
6,1.1612967219617631,0.5374228395061729,0.3832304526748971,1.1064981238709555,0.5374228395061729,0.5173611111111112,0.35648148148148157,1.1553378105163574,0.4409722222222222,0.2546296296296296,1.2097290456295013,0.5798611111111112,0.4398148148148149,0.9856131970882416,0.5104166666666666,0.34722222222222215,1.1396703124046326,0.5972222222222222,0.46296296296296297,1.028255507349968,0.4166666666666667,0.22222222222222224,1.317324936389923,0.7152777777777778,0.6203703703703703,0.8989958167076111,0.5381944444444444,0.38425925925925924,1.0584930777549744,0.5208333333333334,0.36111111111111116,1.1650634109973907
7,1.1412210596932306,0.5435956790123457,0.3914609053497943,1.0881047265397177,0.5435956790123457,0.5277777777777778,0.3703703703703704,1.1297372579574585,0.4236111111111111,0.23148148148148148,1.228590875864029,0.5833333333333334,0.4444444444444445,0.992757186293602,0.5,0.3333333333333333,1.158173143863678,0.6458333333333334,0.5277777777777778,0.9737724214792252,0.4618055555555556,0.28240740740740744,1.2788482308387756,0.6840277777777778,0.5787037037037037,0.8676260262727737,0.5590277777777778,0.41203703703703703,1.0424297153949738,0.5069444444444444,0.34259259259259256,1.1210076808929443
8,1.1260577175352309,0.5590277777777778,0.41203703703703703,1.0768746899233923,0.5590277777777778,0.5277777777777778,0.3703703703703704,1.1367860436439514,0.4166666666666667,0.22222222222222224,1.2221010327339172,0.59375,0.4583333333333333,0.9705778211355209,0.5277777777777778,0.3703703703703704,1.127570778131485,0.6458333333333334,0.5277777777777778,0.9730906188488007,0.4618055555555556,0.28240740740740744,1.2577394843101501,0.7361111111111112,0.6481481481481483,0.8371560275554657,0.6041666666666666,0.47222222222222215,1.0145326107740402,0.5173611111111112,0.35648148148148157,1.1523177921772003
9,1.129189713133706,0.5459104938271604,0.39454732510288065,1.0804585466782253,0.5459104938271605,0.5451388888888888,0.39351851851851843,1.1094729006290436,0.4548611111111111,0.27314814814814814,1.2124253809452057,0.5972222222222222,0.46296296296296297,0.9757441729307175,0.4895833333333333,0.3194444444444444,1.1583240330219269,0.6145833333333334,0.48611111111111116,0.9637537598609924,0.4618055555555556,0.28240740740740744,1.2758727967739105,0.7048611111111112,0.6064814814814815,0.8524119704961777,0.5729166666666666,0.4305555555555555,1.0304941684007645,0.4722222222222222,0.2962962962962963,1.145627737045288
10,1.1103828383816614,0.5644290123456791,0.41923868312757206,1.0537549604972203,0.564429012345679,0.5,0.3333333333333333,1.0962636172771454,0.46875,0.2916666666666667,1.2122778594493866,0.6354166666666666,0.5138888888888888,0.9338568896055222,0.5208333333333334,0.36111111111111116,1.1188592612743378,0.6111111111111112,0.48148148148148157,0.9781775027513504,0.4791666666666667,0.3055555555555556,1.2043750584125519,0.7118055555555556,0.6157407407407408,0.8368749171495438,0.5902777777777778,0.4537037037037037,1.006945639848709,0.5625,0.4166666666666667,1.0961638987064362
11,1.0973532166745927,0.5729166666666666,0.4305555555555556,1.0504418859879177,0.5729166666666666,0.5486111111111112,0.3981481481481482,1.0841678082942963,0.4479166666666667,0.2638888888888889,1.2422498166561127,0.6284722222222222,0.5046296296296297,0.932363972067833,0.5208333333333334,0.36111111111111116,1.1153875291347504,0.6493055555555556,0.5324074074074074,0.9600478261709213,0.4618055555555556,0.28240740740740744,1.2421863675117493,0.75,0.6666666666666666,0.8005446344614029,0.6006944444444444,0.46759259259259256,0.992872953414917,0.5486111111111112,0.3981481481481482,1.0841560661792755
12,1.0776122510433197,0.5578703703703705,0.4104938271604938,1.0503070652484894,0.5578703703703703,0.5173611111111112,0.35648148148148157,1.0947871506214142,0.4131944444444444,0.21759259259259256,1.2487200796604156,0.6111111111111112,0.48148148148148157,0.9375095218420029,0.4756944444444444,0.3009259259259259,1.1350901424884796,0.6527777777777778,0.5370370370370371,0.9334233850240707,0.4895833333333333,0.3194444444444444,1.2146448493003845,0.7291666666666666,0.6388888888888888,0.774863064289093,0.6145833333333334,0.48611111111111116,0.9833575785160065,0.5173611111111112,0.35648148148148157,1.1303678154945374
13,1.0838756461938222,0.5810185185185186,0.44135802469135804,1.0351497100459204,0.5810185185185185,0.5451388888888888,0.39351851851851843,1.0923157334327698,0.4652777777777778,0.28703703703703703,1.211611807346344,0.6423611111111112,0.5231481481481483,0.9021871536970139,0.5416666666666666,0.38888888888888884,1.101417452096939,0.6666666666666666,0.5555555555555555,0.9346679449081421,0.4895833333333333,0.3194444444444444,1.1927225291728973,0.7361111111111112,0.6481481481481483,0.7985001653432846,0.5833333333333334,0.4444444444444445,1.0060562640428543,0.5590277777777778,0.41203703703703703,1.0768683403730392
14,1.079916258653005,0.5937500000000001,0.4583333333333333,1.0175904863410525,0.59375,0.5694444444444444,0.4259259259259259,1.0731967389583588,0.4479166666666667,0.2638888888888889,1.2034029066562653,0.6666666666666666,0.5555555555555555,0.8825574964284897,0.5451388888888888,0.39351851851851843,1.083970308303833,0.6527777777777778,0.5370370370370371,0.9321591109037399,0.5104166666666666,0.34722222222222215,1.1815354526042938,0.7256944444444444,0.6342592592592592,0.774443119764328,0.6215277777777778,0.4953703703703704,0.9656880497932434,0.6041666666666666,0.47222222222222215,1.0613611936569214
15,1.0718284017509885,0.5752314814814814,0.43364197530864196,1.0222217192252476,0.5752314814814815,0.5659722222222222,0.4212962962962963,1.0552870780229568,0.4097222222222222,0.21296296296296294,1.2283151745796204,0.6388888888888888,0.5185185185185185,0.9028483927249908,0.5347222222222222,0.3796296296296296,1.087681621313095,0.6597222222222222,0.5462962962962963,0.9149875044822693,0.5138888888888888,0.3518518518518518,1.171840786933899,0.7291666666666666,0.6388888888888888,0.777533695101738,0.5729166666666666,0.4305555555555555,0.9885198324918747,0.5520833333333334,0.40277777777777785,1.0729813873767853
16,1.0558948599629931,0.5918209876543209,0.455761316872428,1.0117786096202002,0.591820987654321,0.5694444444444444,0.4259259259259259,1.0764737278223038,0.4791666666666667,0.3055555555555556,1.1843591928482056,0.6770833333333334,0.5694444444444445,0.8596641421318054,0.5555555555555556,0.40740740740740744,1.0736798644065857,0.6354166666666666,0.5138888888888888,0.938491553068161,0.5034722222222222,0.33796296296296297,1.1749475598335266,0.7395833333333334,0.6527777777777778,0.7667523771524429,0.5833333333333334,0.4444444444444445,0.9632446616888046,0.5833333333333334,0.4444444444444445,1.0683944076299667
17,1.0531616624858644,0.6022376543209877,0.4696502057613169,0.9937688857316971,0.6022376543209876,0.6076388888888888,0.4768518518518518,1.0068922638893127,0.4479166666666667,0.2638888888888889,1.2010426223278046,0.6909722222222222,0.5879629629629629,0.8194374591112137,0.5520833333333334,0.40277777777777785,1.0783783793449402,0.6423611111111112,0.5231481481481483,0.9255993813276291,0.5208333333333334,0.36111111111111116,1.1732453405857086,0.7465277777777778,0.6620370370370371,0.7596625238656998,0.625,0.5,0.9252236932516098,0.5868055555555556,0.4490740740740741,1.0544383078813553
18,1.044806452261077,0.5949074074074073,0.4598765432098766,0.9895291957590315,0.5949074074074074,0.5625,0.4166666666666667,1.0114997327327728,0.4791666666666667,0.3055555555555556,1.1735231578350067,0.7013888888888888,0.6018518518518517,0.8175102025270462,0.53125,0.375,1.0805208086967468,0.6354166666666666,0.5138888888888888,0.9326113015413284,0.5277777777777778,0.3703703703703704,1.1445134282112122,0.7152777777777778,0.6203703703703703,0.7639061510562897,0.6180555555555556,0.49074074074074076,0.9415891021490097,0.5833333333333334,0.4444444444444445,1.040088877081871
19,1.0540580600500107,0.611111111111111,0.48148148148148145,0.9838801655504439,0.6111111111111112,0.6111111111111112,0.48148148148148157,0.9846878498792648,0.5069444444444444,0.34259259259259256,1.1537717580795288,0.7395833333333334,0.6527777777777778,0.8148236274719238,0.5381944444444444,0.38425925925925924,1.0708633661270142,0.6388888888888888,0.5185185185185185,0.9209599792957306,0.5138888888888888,0.3518518518518518,1.1666622459888458,0.75,0.6666666666666666,0.7578304708003998,0.6354166666666666,0.5138888888888888,0.9396419078111649,0.5659722222222222,0.4212962962962963,1.045680284500122
20,1.0330621699492137,0.6010802469135803,0.4681069958847737,0.9822481092479494,0.6010802469135802,0.6145833333333334,0.48611111111111116,0.9648498147726059,0.4756944444444444,0.3009259259259259,1.1739510893821716,0.7083333333333334,0.6111111111111112,0.8102716505527496,0.5416666666666666,0.38888888888888884,1.080390304327011,0.6701388888888888,0.5601851851851851,0.9011788964271545,0.4826388888888889,0.3101851851851852,1.1710366606712341,0.7638888888888888,0.6851851851851851,0.7415312379598618,0.6111111111111112,0.48148148148148157,0.9230405390262604,0.5416666666666666,0.38888888888888884,1.0739827901124954
21,1.0299682368834813,0.6126543209876544,0.4835390946502058,0.9564678519964218,0.6126543209876543,0.6423611111111112,0.5231481481481483,0.929012730717659,0.46875,0.2916666666666667,1.1543452143669128,0.7291666666666666,0.6388888888888888,0.775180995464325,0.5520833333333334,0.40277777777777785,1.0381083935499191,0.6423611111111112,0.5231481481481483,0.9266173541545868,0.5104166666666666,0.34722222222222215,1.1491858959197998,0.7395833333333334,0.6527777777777778,0.7371338903903961,0.6597222222222222,0.5462962962962963,0.8593231290578842,0.5694444444444444,0.4259259259259259,1.0393030643463135
22,1.0158224271403418,0.6219135802469136,0.4958847736625515,0.9477299633953307,0.6219135802469136,0.6701388888888888,0.5601851851851851,0.919503390789032,0.4756944444444444,0.3009259259259259,1.1628739833831787,0.7673611111111112,0.6898148148148149,0.7474144697189331,0.5520833333333334,0.40277777777777785,1.038724198937416,0.6006944444444444,0.46759259259259256,0.9327035993337631,0.5416666666666666,0.38888888888888884,1.1259492337703705,0.7256944444444444,0.6342592592592592,0.7387083172798157,0.6736111111111112,0.5648148148148149,0.8711217790842056,0.5902777777777778,0.4537037037037037,0.992570698261261
23,1.0141150504350662,0.6165123456790123,0.48868312757201643,0.9548714690738254,0.6165123456790124,0.6458333333333334,0.5277777777777778,0.9272815883159637,0.4756944444444444,0.3009259259259259,1.1593452990055084,0.7569444444444444,0.6759259259259259,0.753297969698906,0.5208333333333334,0.36111111111111116,1.072103500366211,0.6458333333333334,0.5277777777777778,0.9244947284460068,0.5347222222222222,0.3796296296296296,1.1140412986278534,0.7326388888888888,0.6435185185185185,0.765533909201622,0.6284722222222222,0.5046296296296297,0.8735077083110809,0.6076388888888888,0.4768518518518518,1.0042372196912766
24,1.0131928324699402,0.6277006172839505,0.5036008230452675,0.9477308061387804,0.6277006172839507,0.6597222222222222,0.5462962962962963,0.9207250475883484,0.4756944444444444,0.3009259259259259,1.155010998249054,0.7708333333333334,0.6944444444444445,0.748041421175003,0.5798611111111112,0.4398148148148149,1.0288547575473785,0.6493055555555556,0.5324074074074074,0.9033733308315277,0.5243055555555556,0.36574074074074076,1.146569937467575,0.7465277777777778,0.6620370370370371,0.7477385401725769,0.6631944444444444,0.5509259259259259,0.8508857786655426,0.5798611111111112,0.4398148148148149,1.0283774435520172
25,1.000370654794905,0.6323302469135803,0.5097736625514403,0.9368038641081916,0.6323302469135802,0.6666666666666666,0.5555555555555555,0.8801568895578384,0.4861111111111111,0.3148148148148148,1.1561543345451355,0.78125,0.7083333333333334,0.7091082334518433,0.5659722222222222,0.4212962962962963,1.0301643311977386,0.6631944444444444,0.5509259259259259,0.8983039557933807,0.5069444444444444,0.34259259259259256,1.166620135307312,0.7430555555555556,0.6574074074074074,0.746378019452095,0.6805555555555556,0.5740740740740741,0.8311969637870789,0.5972222222222222,0.46296296296296297,1.0131519138813019
26,1.003751481572787,0.6284722222222222,0.5046296296296297,0.9277057415909238,0.6284722222222222,0.6701388888888888,0.5601851851851851,0.8653513789176941,0.4861111111111111,0.3148148148148148,1.1512572169303894,0.7743055555555556,0.6990740740740741,0.7146279960870743,0.5625,0.4166666666666667,1.0410566478967667,0.6701388888888888,0.5601851851851851,0.8878570199012756,0.5,0.3333333333333333,1.1392145603895187,0.75,0.6666666666666666,0.749008372426033,0.65625,0.5416666666666666,0.8124510645866394,0.5868055555555556,0.4490740740740741,0.9885274171829224
27,0.9934836841291852,0.6315586419753085,0.5087448559670782,0.9225711127122244,0.6315586419753086,0.6909722222222222,0.5879629629629629,0.8576316833496094,0.4895833333333333,0.3194444444444444,1.150180608034134,0.7743055555555556,0.6990740740740741,0.6848571598529816,0.5694444444444444,0.4259259259259259,1.0453458279371262,0.6354166666666666,0.5138888888888888,0.8935915976762772,0.5277777777777778,0.3703703703703704,1.1332134753465652,0.7326388888888888,0.6435185185185185,0.7341527342796326,0.6875,0.5833333333333334,0.7908091992139816,0.5763888888888888,0.4351851851851851,1.0133577287197113
28,0.9882752415206697,0.6404320987654322,0.5205761316872428,0.9102662288480334,0.6404320987654321,0.6979166666666666,0.5972222222222222,0.848923996090889,0.4861111111111111,0.3148148148148148,1.1334888637065887,0.7916666666666666,0.7222222222222222,0.6795479506254196,0.5625,0.4166666666666667,1.0255875289440155,0.6458333333333334,0.5277777777777778,0.8960734158754349,0.5069444444444444,0.34259259259259256,1.1426565945148468,0.7361111111111112,0.6481481481481483,0.7277584224939346,0.7361111111111112,0.6481481481481483,0.7522729188203812,0.6006944444444444,0.46759259259259256,0.986086368560791
29,0.9777470545636283,0.6469907407407408,0.529320987654321,0.9063646660910712,0.6469907407407407,0.7048611111111112,0.6064814814814815,0.8222566545009613,0.4861111111111111,0.3148148148148148,1.141178548336029,0.7951388888888888,0.7268518518518517,0.6715657562017441,0.5798611111111112,0.4398148148148149,0.9943462759256363,0.6527777777777778,0.5370370370370371,0.8873016238212585,0.5243055555555556,0.36574074074074076,1.1490886807441711,0.7604166666666666,0.6805555555555555,0.7255318313837051,0.7048611111111112,0.6064814814814815,0.7869531214237213,0.6145833333333334,0.48611111111111116,0.9790595024824142
