subject,metric,mean_across_seeds,std_across_seeds,n_seeds
1,accuracy,0.857638888888889,0.03348489847566999,3
2,accuracy,0.6261574074074074,0.08827460632253864,3
3,accuracy,0.9259259259259259,0.005303907054347079,3
4,accuracy,0.7395833333333334,0.017361111111111105,3
5,accuracy,0.7569444444444445,0.043368041655544406,3
6,accuracy,0.5659722222222222,0.015911721163041105,3
7,accuracy,0.861111111111111,0.012519275262027757,3
8,accuracy,0.8333333333333334,0.006944444444444475,3
9,accuracy,0.8113425925925926,0.028279610469607912,3
1,cohen_kappa,0.8101851851851851,0.04464653130089334,3
2,cohen_kappa,0.5015432098765432,0.11769947509671821,3
3,cohen_kappa,0.9012345679012346,0.007071876072462748,3
4,cohen_kappa,0.6527777777777778,0.02314814814814814,3
5,cohen_kappa,0.6759259259259259,0.05782405554072587,3
6,cohen_kappa,0.4212962962962962,0.021215628217388132,3
7,cohen_kappa,0.8148148148148149,0.016692367016037015,3
8,cohen_kappa,0.7777777777777777,0.009259259259259245,3
9,cohen_kappa,0.7484567901234568,0.03770614729281055,3
