metric,grand_mean,std_across_subject_means,mean_within_subject_seed_std,min_seed_mean,max_seed_mean,n_subjects,n_seeds
accuracy,0.7753343621399176,0.11681854132507169,0.027938623995370275,0.7565586419753088,0.7974537037037037,9,3
cohen_kappa,0.7004458161865569,0.1557580551000956,0.037251498660493695,0.6754115226337449,0.7299382716049383,9,3
